Date,Open,High,Low,Close,Adj Close,Volume
29-04-2015,1242,1247.5,1225.525024,1243.650024,1093.958618,2019620
30-04-2015,1240,1245,1213.550049,1231.849976,1083.578857,3738054
04-05-2015,1245.5,1252.400024,1228.599976,1240.775024,1091.430176,1890630
05-05-2015,1250.5,1268.224976,1250,1258.925049,1107.395386,3255070
06-05-2015,1257.5,1257.5,1227.900024,1231.525024,1083.293335,3394406
07-05-2015,1232.449951,1276.875,1226.849976,1272.625,1119.446167,3205028
08-05-2015,1280,1294,1258.150024,1263.625,1111.529419,3003664
11-05-2015,1267.5,1281.525024,1262.5,1278,1124.174072,2573082
12-05-2015,1280,1282.5,1256.5,1261.449951,1109.616333,2467386
13-05-2015,1273.5,1273.5,1240.224976,1257.699951,1106.317627,1863774
14-05-2015,1260,1260,1242.5,1249.625,1099.214355,1309050
15-05-2015,1257.5,1266.199951,1250.5,1255.574951,1104.448242,1461454
18-05-2015,1257.050049,1262.625,1248.550049,1260.199951,1108.516846,4507752
19-05-2015,1259.699951,1265,1248.375,1256.349976,1105.130127,1957722
20-05-2015,1260,1284.949951,1258.449951,1278.525024,1124.636353,1897814
21-05-2015,1278.5,1290,1274.074951,1277.75,1123.95459,1579578
22-05-2015,1275,1314.375,1269.625,1308.949951,1151.399048,2691632
25-05-2015,1310,1318.449951,1292.849976,1300.5,1143.966309,982978
26-05-2015,1302.5,1311.625,1294.449951,1304.425049,1147.418701,1961740
27-05-2015,1304,1316.574951,1296,1307.625,1150.233643,1620690
28-05-2015,1301.949951,1311.5,1291.125,1304.75,1147.704468,2763608
29-05-2015,1308.5,1324.300049,1298.625,1305.150024,1148.056152,4423532
01-06-2015,1304.724976,1323.550049,1304.175049,1308.875,1151.332764,882264
02-06-2015,1308,1315,1295.25,1299.949951,1143.4823,3935820
03-06-2015,1302,1312.800049,1295.25,1305.449951,1148.320313,1804684
04-06-2015,1308.550049,1311.400024,1294.25,1302.824951,1146.01123,4131468
05-06-2015,1296,1304.5,1285,1287.925049,1143.43689,2308534
08-06-2015,1295,1295,1280.824951,1288.724976,1144.146973,1570320
09-06-2015,1292.5,1295,1275.5,1280.824951,1137.132813,2578914
10-06-2015,1283,1305,1281.900024,1300.375,1154.489746,2763350
11-06-2015,1302.75,1306.5,1278.375,1285.650024,1141.416748,1847336
12-06-2015,1285.949951,1294.474976,1238.400024,1252.900024,1112.341064,2571456
15-06-2015,1252.650024,1260.224976,1240.5,1252.400024,1111.896973,2525176
16-06-2015,1250,1259.650024,1247.224976,1256,1115.093018,1267396
17-06-2015,1260.5,1264.574951,1250.900024,1256.900024,1115.89209,1975720
18-06-2015,1257.5,1273.150024,1254,1265.025024,1123.105713,2165046
19-06-2015,1267.5,1277.5,1263.550049,1274.775024,1131.762085,1999610
22-06-2015,1273.5,1300,1273.5,1295.75,1150.383911,1102002
23-06-2015,1300,1304,1283.599976,1287.300049,1142.881592,898318
24-06-2015,1290,1293.949951,1279.425049,1285.150024,1140.972778,1170246
25-06-2015,1281,1286.5,1272.074951,1275,1131.961548,1930992
26-06-2015,1275.099976,1298.175049,1275.099976,1296.400024,1150.960571,1290102
29-06-2015,1286,1302,1271.699951,1296.449951,1151.005005,1372756
30-06-2015,1292.5,1294.375,1270,1275.474976,1132.383545,1549952
01-07-2015,1281.949951,1304,1278.375,1296.550049,1151.094116,1279708
02-07-2015,1300,1301.474976,1285.525024,1288.875,1144.279907,1445880
03-07-2015,1286.525024,1305,1285,1301.949951,1155.888306,963470
06-07-2015,1290.150024,1322.5,1290.150024,1316.650024,1168.939087,1182338
07-07-2015,1316.375,1323.449951,1301.5,1308.125,1161.370239,1642836
08-07-2015,1298.974976,1310.849976,1290.25,1297.550049,1151.981689,2667850
09-07-2015,1297.5,1299.125,1253.324951,1261.25,1119.753906,3934122
10-07-2015,1279.5,1279.5,1227.5,1237.175049,1098.380249,8263654
13-07-2015,1237.699951,1259.300049,1237.699951,1254.775024,1114.005493,2280308
14-07-2015,1255.5,1257.5,1245,1249.75,1109.544312,1703274
15-07-2015,1250.5,1274.974976,1250,1272.875,1130.074951,2003660
16-07-2015,1271.849976,1279.425049,1263.300049,1270.099976,1127.611328,1456608
17-07-2015,1273.400024,1285.050049,1271.650024,1282.199951,1138.35376,1070526
20-07-2015,1282,1291.949951,1275.949951,1289.574951,1147.362427,853786
21-07-2015,1288,1300.175049,1277.550049,1280.699951,1139.466064,1274500
22-07-2015,1280.5,1284.5,1260.525024,1264.025024,1124.629883,1320628
23-07-2015,1258.75,1268.925049,1241.5,1244.300049,1107.0802,1496780
24-07-2015,1248.75,1258.25,1246.050049,1252.574951,1114.442627,1574972
27-07-2015,1244,1252.5,1240.574951,1248.525024,1110.839355,2003738
28-07-2015,1249.75,1259.5,1246.074951,1251.025024,1113.063721,1891188
29-07-2015,1255.5,1257.525024,1241.75,1253.375,1115.154297,2413318
30-07-2015,1258.025024,1258.400024,1236.400024,1240.324951,1103.543213,2770574
31-07-2015,1244.949951,1259.5,1243.5,1255.375,1116.93396,1963776
03-08-2015,1251.699951,1262.5,1250.449951,1254.800049,1116.422241,1179324
04-08-2015,1255.199951,1261.5,1243,1254.449951,1116.110962,2342692
05-08-2015,1260,1275,1255.5,1273.574951,1133.126465,988994
06-08-2015,1282.5,1291.5,1275.050049,1286.650024,1144.759888,2211366
07-08-2015,1286.5,1286.5,1273.5,1276.025024,1135.306763,1188506
10-08-2015,1286,1294.5,1278.300049,1286.050049,1144.226196,1431182
11-08-2015,1289,1305,1271.050049,1302.099976,1158.505859,2200306
12-08-2015,1301.550049,1345.699951,1301,1335.849976,1188.533813,3479784
13-08-2015,1335,1342,1278,1317.800049,1172.475098,1406426
14-08-2015,1319,1359.675049,1318.550049,1351.599976,1202.547363,2293964
17-08-2015,1345.050049,1348.400024,1327.5,1342.375,1194.339722,773644
18-08-2015,1353.449951,1374.949951,1345,1370.449951,1219.318604,1916926
19-08-2015,1375,1376.425049,1360.949951,1366.800049,1216.071045,1690070
20-08-2015,1372.5,1372.5,1336,1343.425049,1195.273926,2349298
21-08-2015,1356,1364.949951,1327.550049,1338.074951,1190.513672,3536080
24-08-2015,1319.5,1322.5,1284.550049,1289.324951,1147.140137,4692344
25-08-2015,1293.949951,1311,1267.75,1283.574951,1142.023926,3925800
26-08-2015,1279.025024,1319.5,1255.974976,1288.375,1146.294312,3216158
